number,value,datetime_start,datetime_complete,duration,params_T_max,params_clip_epsilon,params_entropy_coef,params_eta_min,params_gae_lambda,params_gamma,params_lr,params_scheduler,params_value_loss_coef,state
0,,2025-03-13 22:30:44.554933,2025-03-13 22:35:36.048113,0 days 00:04:51.493180,30,0.24451237730666997,0.0004085389722766802,7.307862812576701e-07,0.985439376939549,0.9668814794565627,0.0009045895783985987,step,0.6572327156651057,FAIL
1,,2025-03-13 22:31:10.701195,,,11,0.21774936037820464,0.061114822410790824,8.46180806172138e-06,0.913056992018422,0.9941012306086734,4.631354834896378e-05,cosine,0.41731855178342225,RUNNING
2,,2025-03-13 22:31:31.135638,,,14,0.2511858454911634,0.09774579776885522,3.2800018640586625e-06,0.9226402629462102,0.9544162409590069,1.541552193476449e-05,step,0.6534070382048642,RUNNING
3,,2025-03-13 22:36:29.688188,,,42,0.24003160887119412,0.004949012275974052,8.515077427853181e-07,0.9119150740587184,0.9892859598271571,2.467232164532359e-05,step,0.5764291669731995,RUNNING
4,,2025-03-13 22:39:37.210763,,,44,0.12442495611014366,0.0054766092819211985,1.8048554479487716e-07,0.9031194184076918,0.960800217001975,1.4354877015606281e-05,step,0.7818328921072037,RUNNING
5,76.4761905670166,2025-03-13 22:45:46.714868,2025-03-13 23:04:40.636784,0 days 00:18:53.921916,37,0.16535590012021623,0.0005039954660990593,1.3311390772354921e-06,0.955261304027987,0.9677911728475967,2.6976109751512647e-05,step,0.33164954355652776,COMPLETE
6,75.375,2025-03-13 22:48:22.013547,2025-03-13 23:14:58.193008,0 days 00:26:36.179461,14,0.07655720190120348,0.0032111764157119276,1.003367704880456e-07,0.9534484919758897,0.9512584782825758,0.0006338993854134501,cosine,0.8950984380562514,COMPLETE
7,53.28042411804199,2025-03-13 22:48:36.534119,2025-03-13 23:01:36.675961,0 days 00:13:00.141842,27,0.21646248267806262,0.026634078823539884,7.086281514761037e-07,0.9704802551904196,0.9667757909675209,0.000435884131665041,step,0.8860440289007011,COMPLETE
8,52.357142766316734,2025-03-13 23:03:48.330972,2025-03-13 23:35:19.305326,0 days 00:31:30.974354,42,0.17800917648248077,0.0017114127949350154,5.905206240094881e-07,0.9568272819913691,0.9895713568971765,0.00023895634074064308,step,0.9128907294197798,COMPLETE
9,24.708333333333332,2025-03-13 23:06:22.283014,2025-03-13 23:19:32.061558,0 days 00:13:09.778544,44,0.24824514575386109,0.09269198246694078,2.521776265213527e-06,0.9538033683387949,0.9700267785235008,1.2116596587285467e-05,cosine,0.7087439602768668,COMPLETE
10,90.507142384847,2025-03-13 23:06:26.494265,2025-03-13 23:30:25.758572,0 days 00:23:59.264307,7,0.1641687052448461,0.0013432276598424066,3.842338076486835e-06,0.9898520222337641,0.9909927780678086,0.0004963302735850299,cosine,0.8602505900312759,COMPLETE
11,106.27380879720052,2025-03-13 23:16:58.449797,2025-03-13 23:30:44.667759,0 days 00:13:46.217962,21,0.2627220999795787,0.0008955804013903519,8.435095925883108e-07,0.9268911263894184,0.9796763581278988,0.0005049514309340648,cosine,0.7696878252625599,COMPLETE
